keywords
"[""Sodium Electrode (钠电极"",""Calcium Electrode (钙电极"",""PCO2 Electrode (二氧化碳分压电极"",""pH Electrode (pH电极"",""SAPS Single Action Pumping System (内腔清洗器（商品名：SAPS）"",""Nasal Mask (鼻罩"",""ARCHITECT Total β-hCG Reagent Kit (总β人绒毛膜促性腺激素测定试剂盒(化学发光微粒子免疫检测法)"",""ECHOGRAPH (超声眼科专用诊断仪"",""Flor-Opal Varnish White (氟保护剂"",""矫治器 (矫治器"",""RelyXTM Ceramic Primer (陶瓷表面处理剂"",""VITROS Immunodiagnostic Products Total T3 Reagent Pack (总三碘甲状腺原氨酸测定试剂包(化学发光法)"",""GLUTATHIONE REDUCTASE (谷胱甘肽还原酶检测试剂盒(紫外酶法)"",""LIAISON（R） XL murex Control HCV Ab (丙型肝炎病毒抗体质控品"",""VITROS Chemistry Products hsCRP Performance Verifier I,II and III (C反应蛋白质控品""]"
"[""Modular Replacement System-(MRS)Cemented Stems (股骨柄(商品名：MRS)"",""Secur-Fit Shell (髋关节假体-髋臼杯"",""Crossfire Insert (髋关节假体-聚乙烯内衬"",""OPAL (椎间融合器(商品名：OPAL)"",""Revision Hip Stem (翻修型股骨柄(商品名：Wagner SL)"",""TI Cage (钛制融合笼（商品名：Intromed）"",""Intromed PEEK Cage System (聚醚醚酮制椎间融合器（商品名：Intromed）"",""VITROS Chemistry Products AMYL DT Slides (淀粉酶测定干片(终点法)"",""VITROS Chemistry Products Fe DT Slides (铁测定干片(速率法)"",""IMMULITE 2000 GI-MA (糖类抗原19-9测定试剂盒(化学发光法)"",""DIRECT HDL-cholesterol(HDL) (高密度脂蛋白固醇检测试剂盒(酶清除法)"",""Mont Blanc (脊柱内固定系统组件"",""DISCOCERV Cervical Disc Prosthesis (人工椎间盘(商品名：DISCOCERV)"",""Iron Liquicolor (血清铁测定试剂盒(比色法)"",""Calibrator 27 (茶碱校准品""]"
"[""血液分析仪用质控品Boule Con-5Diff G2 (血液分析仪用质控品"",""血液分析仪用校准品Boule Cal-5Diff G2 (血液分析仪用校准品"",""带针可吸收外科缝线Absorbable Surgical Suture (带针可吸收外科缝线"",""生物瓣膜Pericardial Bioprosthesis (生物瓣膜"",""人工晶状体推进器Injector for foldable lenses (人工晶状体推进器"",""微量白蛋白校准品MICROALBUMIN CALIBRATOR SERIES (mALB CAL) (微量白蛋白校准品"",""肌酸激酶同工酶质控品CK-MB Control (肌酸激酶同工酶质控品"",""上部消化管汎用ビデオスコープ (电子上消化道内窥镜"",""SOFT CONTACT LENS (软性亲水接触镜"",""Vision Enhancement System (眼科治疗系统"",""Emprint Ablation System (微波消融系统"",""High Frequency Electrosurgical Generator (高频电刀"",""Lumipulse? G AFP-N (甲胎蛋白（AFP）检测试剂盒（化学发光法）"",""Lumipulse? G PSA-N (总前列腺特异性抗原（PSA）检测试剂盒（化学发光法）"",""超声及电疗治疗仪Ultrasonic therapy and electrotherapy equipment (超声及电疗治疗仪Ultrasonic therapy and electrotherapy equipment""]"
"[""去纤颤心电电极Multi-Function Defibrillation Electrodes (去纤颤心电电极Multi-Function Defibrillation Electrodes"",""内窥镜用动力系统Motor System for Endoscope (内窥镜用动力系统Motor System for Endoscope"",""植入式脊髓神经刺激电极修补套件Implantable Spinal Cord Stimulation Lead Revision Kit (植入式脊髓神经刺激电极修补套件Implantable Spinal Cord Stimulation Lead Revision Kit"",""过氧化氢低温等离子灭菌系统STERRAD 100S Sterilizer (过氧化氢低温等离子灭菌系统STERRAD 100S Sterilizer"",""凝血酶时间测定试剂盒（凝固法）HemosIL Thrombin Time (凝血酶时间测定试剂盒（凝固法）HemosIL Thrombin Time"",""抗β2糖蛋白1 IgG抗体检测试剂盒(化学发光免疫分析法)HemosIL AcuStar Anti- ß2 Glycoprotein-I IgG (抗β2糖蛋白1 IgG抗体检测试剂盒(化学发光免疫分析法)HemosIL AcuStar Anti- ß2 Glycoprotein-I IgG"",""D-二聚体检测试剂盒(化学发光免疫分析法)HemosIL AcuStar D-Dimer (D-二聚体检测试剂盒(化学发光免疫分析法)HemosIL AcuStar D-Dimer"",""抗肾小球基底膜抗体检测试剂盒（酶联免疫法）QUANTA Lite GBM ELISA (抗肾小球基底膜抗体检测试剂盒（酶联免疫法）QUANTA Lite GBM ELISA"",""抗gp210抗体检测试剂盒（酶联免疫法）QUANTA Lite gp210 ELISA (抗gp210抗体检测试剂盒（酶联免疫法）QUANTA Lite gp210 ELISA"",""树脂封闭剂PermaSeal Composite Sealer (树脂封闭剂"",""天然胶乳橡胶避孕套Natural rubber latex condoms (天然胶乳橡胶避孕套"",""软性角膜接触镜1 DAY ACUVUE TruEye Brand Contact Lenses with HYDRACLEAR 1 (narafilcon A) (软性角膜接触镜"",""软性亲水接触镜Soft Hydrophilic Contact Lens (软性亲水接触镜"",""软性亲水接触镜Soft Hydrophilic Contact Lens (软性亲水接触镜"",""梅毒螺旋体抗体检测试剂盒(化学发光免疫分析法)BIO-FLASH Syphilis (梅毒螺旋体抗体检测试剂盒(化学发光免疫分析法)""]"
"[""金属胆道支架系统Zilver Expandable Metal Biliary Stent System (金属胆道支架系统"",""SYNERGY MONORAIL Everolimus-Eluting Platinum Chromium Coronary Stent System (铂铬合金依维莫司洗脱冠状动脉支架系统"",""Amplatz Type Renal Sheath (肾鞘管"",""肾扩张器/鞘套件Amplatz Type Renal Dialator/Sheath Set (肾扩张器/鞘套件"",""导丝Wholey Guidewire System (导丝"",""快速交换球囊扩张导管Euphora Rapid Exchange Balloon Dilatation Catheter (快速交换球囊扩张导管"",""Tip Confirmation System (中心静脉导管尖端追踪及定位用辅助装置"",""Implantable Bipolar Endocardial lead (植入式心脏起搏器电极导线"",""医用内窥镜冷光源Cold light fountain (医用内窥镜冷光源Cold light fountain"",""覆膜胆道金属支架Wallstent Endoscopic Biliary Endoprosthesis with Permalume Covering (覆膜胆道金属支架Wallstent Endoscopic Biliary Endoprosthesis with Permalume Covering"",""植入式脊髓神经刺激电极套件Implantable Spinal Cord Stimulation Lead Kit (植入式脊髓神经刺激电极套件Implantable Spinal Cord Stimulation Lead Kit"",""经外周穿刺中心静脉导管包Peripherally Inserted Central Catheter (经外周穿刺中心静脉导管包Peripherally Inserted Central Catheter"",""免疫球蛋白E检测试剂盒（酶联免疫法）IgE Enzyme Immunoassay Test Kit (免疫球蛋白E检测试剂盒（酶联免疫法）IgE Enzyme Immunoassay Test Kit"",""D-二聚体测定试剂盒(免疫比浊法)HemosIL D-Dimer HS 500 (D-二聚体测定试剂盒(免疫比浊法)HemosIL D-Dimer HS 500"",""抗核抗体检测试剂盒（酶联免疫法）QUANTA Lite ANA ELISA (抗核抗体检测试剂盒（酶联免疫法）QUANTA Lite ANA ELISA""]"
"[""抗核抗体检测试剂盒（酶联免疫法）QUANTA Lite ANA ELISA (抗核抗体检测试剂盒（酶联免疫法）QUANTA Lite ANA ELISA"",""复合可吸收骨锚钉BioComposite Suture Anchor (复合可吸收骨锚钉BioComposite Suture Anchor"",""凝血酶原时间与纤维蛋白原测定试剂盒(凝固法）HemosIL PT-Fibrinogen HS PLUS (凝血酶原时间与纤维蛋白原测定试剂盒(凝固法）HemosIL PT-Fibrinogen HS PLUS"",""Cadwell Cascade (术中脑电/肌电/诱发电位测量系统"",""腰椎外引流及监测系统 (腰椎外引流及监测系统"",""Slitter (导管切开刀"",""牙齿美白贴Opalescence trèswhite SUPREME Tooth whitening gel (牙齿美白贴"",""泡沫敷料Wound Foam (泡沫敷料"",""脂质水胶体硫酸银泡沫敷料 (脂质水胶体硫酸银泡沫敷料"",""血管鞘组Introducer for PTCA Guiding Catheters (血管鞘组"",""Implantable Pacemaker (植入式心脏起搏器"",""Chlamydia pneumoniae IgG-ELISA (肺炎衣原体IgG检测试剂盒（酶联免疫法）"",""Chlamydia pneumoniae IgM-ELISA (肺炎衣原体IgM检测试剂盒（酶联免疫法）"",""ビデオ軟性大腸镜 (电子下消化道内窥镜"",""ビデオ軟性胃十二指腸鏡 (电子上消化道内窥镜""]"
"[""Laparoscope And Accessories (腹腔镜及附件"",""Biometer (眼科光学生物测量仪"",""病人监护仪Clinical Platform (病人监护仪Clinical Platform"",""腹腔内窥镜Endoscopes of Laparoscopy (腹腔内窥镜Endoscopes of Laparoscopy"",""血糖仪Contour TS Blood Glucose Meter (血糖仪Contour TS Blood Glucose Meter"",""葡萄糖质控液Contour Plus Control Solution (葡萄糖质控液Contour Plus Control Solution"",""抗β2糖蛋白1 IgM抗体检测试剂盒(化学发光免疫分析法)HemosIL AcuStar Anti- ß2 Glycoprotein-I IgM (抗β2糖蛋白1 IgM抗体检测试剂盒(化学发光免疫分析法)HemosIL AcuStar Anti- ß2 Glycoprotein-I IgM"",""\u0026lt;p\u0026gt;移动式C形臂X射线机\u0026lt;/p\u0026gt; (\u0026lt;p\u0026gt;移动式C形臂X射线机\u0026lt;/p\u0026gt;"",""空氧混合器 (空氧混合器"",""呼吸机 (呼吸机"",""脂肪酶检测试剂盒（比色法）LIPASE (脂肪酶检测试剂盒（比色法）LIPASE"",""多项校准品Calibrator A (多项校准品Calibrator A"",""甲状腺球蛋白抗体测定试剂盒(化学发光法)anti-Tg (aTG) (甲状腺球蛋白抗体测定试剂盒(化学发光法)anti-Tg (aTG)"",""凝血质控品Coagulation Control Level 2 (凝血质控品Coagulation Control Level 2"",""血糖试纸(葡萄糖氧化酶法) (血糖试纸(葡萄糖氧化酶法)""]"
"[""眼科手術装置 (眼科手术系统"",""睡眠呼吸暂停综合征测量仪 (睡眠呼吸暂停综合征测量仪"",""Phototherapy Unit (强脉冲光治疗仪"",""Histra HER2 FISH Kit (HER-2/neu基因检测试剂盒（荧光原位杂交法）"",""脉搏碳氧血氧测量仪 (脉搏碳氧血氧测量仪"",""Digital imaging plate scanner (数字影像板扫描仪"",""高周波凝固子COAGULATION ELECTRODE (高频电极"",""Cannula and set for Plexus anaesthesia (神经刺激阻滞针及套包"",""Universal Audio Analyzer Platform (听力测试平台"",""体外引流及监测系统External Drainage and Monitoring System (体外引流及监测系统External Drainage and Monitoring System"",""电脑验光仪オ—トレフラクトメ—タ (电脑验光仪オ—トレフラクトメ—タ"",""电脑角膜验光仪 (电脑角膜验光仪"",""脊柱椎间融合产品配套工具Spine Instruments for Interbody Fusion (脊柱椎间融合产品配套工具Spine Instruments for Interbody Fusion"",""In Vitro Fertilization (IVF) Plasticware (Tissue-Culture Treated) (体外受精培养皿(组织培养处理)"",""Digital Radiography (数字化X射线成像系统""]"
"[""Digital Radiography (数字化X射线成像系统"",""硫酸脱氢表雄酮检测试剂盒(磁微粒免疫分析法)Eclectica DHEA-S Reagent Kit (硫酸脱氢表雄酮检测试剂盒(磁微粒免疫分析法)Eclectica DHEA-S Reagent Kit"",""生化分析仪用空白校准品VITROS Chemistry Products FS Calibrator 1 (生化分析仪用空白校准品VITROS Chemistry Products FS Calibrator 1"",""呼吸阻抗综合测量装置総合呼吸抵抗測定装置 (呼吸阻抗综合测量装置総合呼吸抵抗測定装置"",""磷脂检测试剂盒（酶法）Determiner L PL (磷脂检测试剂盒（酶法）Determiner L PL"",""脂质校准品Standard For Total Cholesterol measurement (脂质校准品Standard For Total Cholesterol measurement"",""庆大霉素测定试剂盒（直接化学发光法）Gentamicin (GENT) (庆大霉素测定试剂盒（直接化学发光法）Gentamicin (GENT)"",""凝血质控品Coagulation Control Level 1 (凝血质控品Coagulation Control Level 1"",""Hydrophilic Dressing (吸水敷料（商品名：美迪芳）"",""Safety MST Accessory  Kits (外周中心静脉导管防针刺穿刺附件包"",""Argon ConnectaTM PE Pressure Monitoring Line (一次性使用压力导管（商品名：Argon一次性使用压力导管）"",""Argon RT2000 Dome Set (血压传感器帽"",""Infusion Pump (输液泵"",""OcuLight TX Laser System (激光光凝仪"",""电子腹腔内窥镜  先端湾曲ビデオスコ一プ (电子腹腔内窥镜  先端湾曲ビデオスコ一プ""]"
"[""ビデオ軟性大腸鏡 (电子大肠镜"",""内視鏡ビデオ画像プロセッサ (内窥镜摄像系统"",""Heart Rate Variability Analysis System (心率变异分析系统"",""鼻咽喉ビデオスコープ (电子鼻咽喉内窥镜"",""Cavex alginate impression material (齿科藻酸盐印模材料"",""载脂蛋白A-1测定试剂盒（免疫比浊法）APO A-1 (载脂蛋白A-1测定试剂盒（免疫比浊法）APO A-1"",""水胶体凝胶敷料DuoDERM Hydroactive Gel (水胶体凝胶敷料DuoDERM Hydroactive Gel"",""一次性使用皮肤缝合器及启钉器Disposable Skin Stapler and Skin Staple Remover (一次性使用皮肤缝合器及启钉器Disposable Skin Stapler and Skin Staple Remover"",""脊柱微创产品配套工具Spine Instrument for MIS product (脊柱微创产品配套工具Spine Instrument for MIS product"",""一次性使用高压注射器针筒及附件MARK 7 ARTERION Disposable Syringe (一次性使用高压注射器针筒及附件MARK 7 ARTERION Disposable Syringe"",""糖化血红蛋白质控液Alere Afinion HbA1c Control (糖化血红蛋白质控液Alere Afinion HbA1c Control"",""尿酸校准品Standard For Uric acid measurement (尿酸校准品Standard For Uric acid measurement"",""1,5-脱水D-山梨醇校准品Standard For 1,5-anhydro-D-glucitol measurement (1,5-脱水D-山梨醇校准品Standard For 1,5-anhydro-D-glucitol measurement"",""肌酐校准品Standard For Creatinine measurement (肌酐校准品Standard For Creatinine measurement"",""游离胆固醇检测试剂盒（酶法）Determiner L FC (游离胆固醇检测试剂盒（酶法）Determiner L FC""]"
"[""尿微量白蛋白/肌酐比值质控液Alere Afinion ACR control (尿微量白蛋白/肌酐比值质控液Alere Afinion ACR control"",""Clo-Sur P.A.D. Wound Dressing (止血敷料（商品名：Clo-Sur P.A.D.）"",""SPRAY NASAL (可调式鼻腔清洗器"",""Diamond Dental Burs (金刚砂牙科车针"",""HUMETRON Positioner 1.0 (心脏固定器"",""Aortic Punch (打孔器"",""EMG/EP System (肌电诱发电位系统"",""Nebulizer System (雾化器系统"",""Nebulizer System (雾化器系统"",""Nebulizer System (雾化器系统"",""病人监护仪Patient Monitor (病人监护仪"",""阻抗控制子宫内膜切除系统 (阻抗控制子宫内膜切除系统"",""十二指腸ビデオスコープ (电子十二指肠镜"",""洗滌チューブ (灌洗管"",""可吸收性硬脑膜修补材料Absorbable Dural Substitute (可吸收性硬脑膜修补材料""]"
"[""复合蛋白定标液Protein Calibrator Set (复合蛋白定标液Protein Calibrator Set"",""复合蛋白质控液Protein Control (复合蛋白质控液Protein Control"",""C-反应蛋白检测试剂盒（免疫比浊法）CRP Kit (C-反应蛋白检测试剂盒（免疫比浊法）CRP Kit"",""电导分析仪Digital Chronoamperemetric Analyzer (电导分析仪Digital Chronoamperemetric Analyzer"",""树脂纤维桩Fibrapost (树脂纤维桩Fibrapost"",""非衍生化多种氨基酸、肉碱和琥珀酰丙酮测定试剂盒（串联质谱法）NeoBase™ Non-derivatized MSMS Kit (非衍生化多种氨基酸、肉碱和琥珀酰丙酮测定试剂盒（串联质谱法）NeoBase™ Non-derivatized MSMS Kit"",""脂蛋白a检测试剂盒（乳胶比浊法）LASAY Lp(a)auto (脂蛋白a检测试剂盒（乳胶比浊法）LASAY Lp(a)auto"",""戊型肝炎病毒IgM抗体检测试剂盒（酶联免疫法）MP Diagnostics HEV IgM ELISA 3.0 (戊型肝炎病毒IgM抗体检测试剂盒（酶联免疫法）MP Diagnostics HEV IgM ELISA 3.0"",""SURGIFLO Endoscopic Applicator (内窥镜给药器"",""Endoscopy non-active instruments (内窥镜下无源手术器械"",""Saw handpiece (骨锯手机"",""Dental Unit and Chair (牙科综合治疗台"",""氧化锆瓷块 (氧化锆瓷块"",""Organic Zirconium (氧化锆瓷块"",""齿科铸造合金 (齿科铸造合金""]"
"[""Pola Night Tooth Whitening System (牙齿美白系统"",""全自动生化分析仪 (全自动生化分析仪"",""Needle`s Eye Snare Retrieval Set (针眼圈套器套装"",""Pericardial Bioprosthesis (生物瓣膜"",""手术动力系统 (手术动力系统"",""BEACON Tip Locking Stylet (锁定探针"",""ALEGRIA (全自动免疫分析仪"",""Excimer Laser (准分子激光角膜屈光治疗机"",""冠状动脉棘突球囊导管NSE Coronary Dilatation Catheter (冠状动脉棘突球囊导管NSE Coronary Dilatation Catheter"",""微型可吸收缝线锚钉Bio Absorbable Small Anchors with Orthocord (微型可吸收缝线锚钉Bio Absorbable Small Anchors with Orthocord"",""Surgical Microscope (手术显微镜"",""淀粉酶检测试剂盒（Gal-G2-CNP法）Determiner L AMY G2 (淀粉酶检测试剂盒（Gal-G2-CNP法）Determiner L AMY G2"",""胆碱酯酶检测试剂盒（JSCC法）Determiner L ChE (胆碱酯酶检测试剂盒（JSCC法）Determiner L ChE"",""γ-谷氨酰转肽酶检测试剂盒（JSCC法）Determiner L γ-GTPⅡ (γ-谷氨酰转肽酶检测试剂盒（JSCC法）Determiner L γ-GTPⅡ"",""高密度/低密度脂质胆固醇校准品Standard For HDL/LDL-Cholesterol measurement (高密度/低密度脂质胆固醇校准品Standard For HDL/LDL-Cholesterol measurement""]"
"[""尿素氮校准品Standard For Uric nitrogen measurement (尿素氮校准品Standard For Uric nitrogen measurement"",""软聚硅酮伤口接触层敷料 (软聚硅酮伤口接触层敷料"",""CROSSTEX Surgical Masks (医用外科口罩"",""Hygroscopic cervical Dilator Dilapan-S 原文名称见附页 (一次性使用宫颈扩张棒"",""冠桥用合金 (冠桥用合金"",""Wire Guides (导丝"",""Paragon CRTTM 100 (paflufocon D) Rigid Gas Permeable Contact Lenses for Corneal Refractive Therapy (角膜塑形用硬性透气接触镜"",""Soft Contact Lens (软性亲水接触镜"",""PTA Balloon Dilatation Catheter (PTA球囊扩张导管"",""PTA球囊扩张导管PTA Dilatation Catheter (PTA球囊扩张导管"",""Intraoral dental X-ray device (口内X射线机"",""口腔颌面曲面体层X射线机Diagnostic X-ray Equipment (口腔颌面曲面体层X射线机"",""Inactive instruments and accessories of Endoscopic Instrument Control System (内窥镜手术器械控制系统用无源器械和附件"",""Custodiol HTK-Solution (HTK溶液"",""Humidified CPAP (正压呼吸治疗机""]"
"[""外科超声吸引系统Ultrasonic Surgical Aspirator (外科超声吸引系统"",""cleanser, endodontic, root canal (根管润滑剂"",""小骨关节植入物（商品名：Swanson） (小骨关节植入物（商品名：Swanson）"","" (医用诊断X射线管组件/X線管装置ロータノード"","" (医用诊断X射线管组件/X線管装置ロータノード"","" (医用诊断X射线管组件/X線管装置ロータノード"","" (医用诊断X射线管组件/X線管装置ロータノード"","" (医用诊断X射线管组件/X線管装置ロータノード"","" (医用诊断X射线管组件/X線管装置ロータノード"","" (医用诊断X射线管组件/X線管装置ロータノード"","" (医用诊断X射线管组件/X線管装置ロータノード"",""Digital Radiography (数字化X射线成像系统"",""LOCATOR IMPLANT ATTACHMENT SYSTEM (牙科精密附着体"",""C-arm X-ray Unit (移动式C形臂X射线机"",""Diode Laser System (半导体激光治疗仪""]"
"["" (膜型血浆分离器"","" (膜型血浆成分分离器"",""Bone Plates (直型接骨板"",""Intrauterine Insemination Catheter (子宫内授精导管"",""Continuous AutoTransfusion System Disposables (自体血回输机耗材"",""载脂蛋白B检测试剂盒（免疫比浊法）APOLIPOPROTEIN B (载脂蛋白B检测试剂盒（免疫比浊法）APOLIPOPROTEIN B"",""载脂蛋白A-1检测试剂盒（免疫比浊法）APOLIPOPROTEIN A-1（APO A-1） (载脂蛋白A-1检测试剂盒（免疫比浊法）APOLIPOPROTEIN A-1（APO A-1）"",""C反应蛋白检测试剂盒（免疫比浊法）CRP (C反应蛋白检测试剂盒（免疫比浊法）CRP"",""质控血清Human Assayed Multi-Sera (质控血清Human Assayed Multi-Sera"",""环孢霉素测定试剂盒(化学发光微粒子免疫检测法)ARCHITECT Cyclosporine Reagent Kit (环孢霉素测定试剂盒(化学发光微粒子免疫检测法)ARCHITECT Cyclosporine Reagent Kit"",""环孢霉素校准品ARCHITECT Cyclosporine Calibrators (环孢霉素校准品ARCHITECT Cyclosporine Calibrators"",""总胆红素检测试纸（化学法）SPOTCHEM II Total Bilirubin (总胆红素检测试纸（化学法）SPOTCHEM II Total Bilirubin"",""谷丙转氨酶检测试纸（酶活性测定法）SPOTCHEM II GPT/ALT (谷丙转氨酶检测试纸（酶活性测定法）SPOTCHEM II GPT/ALT"",""烤瓷合金Porcelain Alloys (烤瓷合金Porcelain Alloys"",""金属解剖型接骨板Metal Bone Plate (金属解剖型接骨板Metal Bone Plate""]"
"[""金属直型接骨板Metal Bone Plate (金属直型接骨板Metal Bone Plate"",""彩色超声诊断系统Diagnostic Ultrasound System and Transducers (彩色超声诊断系统Diagnostic Ultrasound System and Transducers"",""胃泌素释放肽前体定标液ProGRP CalSet (胃泌素释放肽前体定标液ProGRP CalSet"",""胃泌素释放肽前体质控品PreciControl ProGRP (胃泌素释放肽前体质控品PreciControl ProGRP"",""胃泌素释放肽前体检测试剂盒（电化学发光法）ProGRP (胃泌素释放肽前体检测试剂盒（电化学发光法）ProGRP"",""人促甲状腺激素测定试剂盒（化学发光法）Access HYPERsensitive hTSH (人促甲状腺激素测定试剂盒（化学发光法）Access HYPERsensitive hTSH"",""风湿病学质控品（低值）N/T Rheumatology Control SL/1 (风湿病学质控品（低值）N/T Rheumatology Control SL/1"",""直接胆红素测定试剂盒（比色法）Direct Bilirubin Flex® Reagent Cartridge （DBI） (直接胆红素测定试剂盒（比色法）Direct Bilirubin Flex® Reagent Cartridge （DBI）"",""孕妇多项检测用质控品Maternal Control Level 1 (孕妇多项检测用质控品Maternal Control Level 1"",""25羟基总维生素D质控品LIAISON® 25 OH Vitamin D TOTAL Control Set (25羟基总维生素D质控品LIAISON® 25 OH Vitamin D TOTAL Control Set"",""叶酸测定试剂盒（化学发光法）Access Folate (叶酸测定试剂盒（化学发光法）Access Folate"",""B型心钠素质控品BNP 1,2,3 (B型心钠素质控品BNP 1,2,3"",""D-二聚体测试卡（时间分辨免疫荧光法）AQT90 FLEX D-dimer Test Kit (D-二聚体测试卡（时间分辨免疫荧光法）AQT90 FLEX D-dimer Test Kit"",""高密度脂蛋白胆固醇校准品HDL Cholesterol Calibrator (高密度脂蛋白胆固醇校准品HDL Cholesterol Calibrator"",""抗链球菌溶血素O抗体测定试剂盒（胶乳免疫比浊法）LA ASO (抗链球菌溶血素O抗体测定试剂盒（胶乳免疫比浊法）LA ASO""]"
