keywords
""
"[""医用无纺布制品"",""二氧化碳测定试剂盒(动态稳定技术)"",""肌酸激酶MB型同工酶测定试剂盒(免疫抑制法)"",""数字化医用"",""游离四碘甲状腺素检测试剂盒（光激化学发光法)"",""气管拉钩"",""定制式固定义齿"",""一次性使用止逆抗反流精密尿袋"",""ZF3铅玻璃"",""电动吸引器"",""天轨输液架"",""脂蛋白（a）测定试剂盒（免疫透射比浊法）"",""血清铁测定试剂盒（比色法）"",""数字化医用X射线摄影系统"",""血清抗酒石酸酸性磷酸酶5b检测试剂盒（酶联免疫法）""]"
"[""宫颈脱落细胞处理试剂盒"",""反光灯"",""开口器"",""腕式电子血压计"",""一次性使用中单"",""压力蒸汽灭菌设备用弹簧式安全阀"",""固定修复体"",""麻醉咽喉镜"",""乳酸脱氢酶检测试剂盒（速率法）"",""定制式义齿"",""一次性使用静脉输液针"",""浮标式氧气吸入器"",""浮标式氧气吸入器"",""视力检查仪"",""葡萄糖测定试剂盒（葡萄糖氧化酶法/双试剂型）""]"
"[""宫内节育器取出钩"",""子宫刮匙"",""诊查床"",""尿液分析试纸条"",""颅颌面接骨螺钉"",""三叶钳"",""多功能护理床"",""多功能护理床"",""腹腔镜手术辅助器具"",""拔牙钳"",""微创骨端接骨板专用工具包"",""小骨折块锁定接骨板专用工具包"",""下肢锁定接骨板手术器械包"",""AF器械包"",""骨折复位器械包""]"
"[""基础外科用镊"",""定制式活动义齿"",""定制式固定义齿"",""一次性使用气管导管包"",""股骨髓内钉安装器械包"",""牙科冲洗器"",""孕酮(P)定量测定试剂盒(磁微粒分离化学发光法)"",""一次性使用负压引流袋"",""一次性使用喂食袋"",""喉镜窥视片"",""人绒毛膜促性腺激素(HCG)快速检测试剂盒(胶体金法)"",""洗板机"",""整体反射立式手术无影灯"",""电动吸引器"",""医疗影像存储与传输系统软件""]"
"[""一次性医用帽子"",""电解质分析仪"",""全自动生化分析仪"",""一次性使用鼻氧管"",""一次性使用鼻氧管"",""一次性鼻氧管"",""护理床垫"",""试剂卡孵育器"",""YS-100综合手术台"",""一次性使用胃管"",""低密度脂蛋白胆固醇测定试剂盒（直接法）"",""担架"",""折叠担架"",""一次性使用冲洗吸引管"",""咬骨钳""]"
"[""一次性手术切口固定器"",""J型导管"",""一次性使用全麻包"",""低密度脂蛋白胆固醇测定试剂盒(直接法)"",""肌酐测定试剂盒(肌氨酸氧化酶法)"",""塑料头皮夹"",""胃管"",""膝关节加压固定器"",""空心螺钉器械"",""主动脉排气针"",""硅凝胶疤痕贴片"",""持骨钳"",""下肢内固定安装工具包"",""鼻增殖体刮匙"",""导钻""]"
"[""定制式活动义齿"",""双翼阴道扩张器"",""转铁蛋白检测试剂盒（免疫比浊法)"",""胆道外科器械包"",""调Q"",""肌酸激酶同工酶（CK-MB)测定试剂盒（免疫抑制法)"",""总胆固醇（CHO)测定试剂盒（酶法)"",""碘伏消毒片(球、棉签)"",""气管切开插管"",""数字式电子血压计"",""血糖仪"",""助读式血压计"",""抗线粒体抗体M2型测定试剂盒(酶免法)"",""定制式活动义齿"",""葡萄糖(GLU)测定试剂盒(上升反应，终点法，GOD–PAP)""]"
"[""亚硒酸盐胱氨酸增菌培养基(SC培养基)(培养法)"",""腺苷脱氨酶校准品"",""一次性使用无菌手术单(巾)"",""创口贴"",""医用超声波清洗机"",""医用胶带"",""彩色多普勒超声系统"",""球囊扩张压力泵"",""酶标分析仪"",""温度和脉搏血氧仪"",""医用中心供氧系统"",""定制式活动义齿"",""粘固粉调刀"",""定制式活动义齿"",""一次性使用胃管""]"
"[""定制式活动义齿"",""全自动生化分析仪"",""锁定金属接骨板模板"",""数字化医用X射线摄影系统"",""手摇骨钻"",""一次性使用手术衣"",""紫外线光疗仪"",""脂蛋白(a)[Lp(a)]测定试剂盒(免疫透射比浊法)"",""人绒毛膜促性腺激素(HCG)快速定量检测试剂盒(胶体金法)(商品名：HCG-DOT)"",""上颌窦止血钳"",""髋关节手术器械包"",""牙用结扎丝"",""前方牵引器"",""台式钢丝剪"",""输卵管提取钩""]"
"[""子宫抓钳"",""显微虹膜剪"",""止血钳"",""眼科手术台"",""机械手术台"",""骨膜剥离器"",""血细胞分析仪用稀释液(MEK-640)"",""瑞氏-姬姆萨复合染色液"",""Amies运送培养基"",""助读式血压计"",""一次性使用无菌溶药器"",""石膏绷带"",""脑血管血液动力学监测仪"",""肌电图与诱发电位仪"",""表面肌电图仪""]"
"[""开睑器"",""骨膜剥离器"",""微量注射泵"",""海绵钳"",""一次性使用直线型切割吻合器及切割组件"",""椅装式牙科治疗设备"",""椅装式牙科治疗设备"",""一次性护理口罩"",""手术无影灯"",""定制式活动义齿"",""RD激光定位系统"",""手动轮椅车"",""医用气体雾化器"",""便携式彩色多普勒超声系统"",""肌酸激酶MB型同工酶(CK—MB)测定试剂盒(免疫抑制法)""]"
"[""糖尿病自身抗体免疫印迹试剂盒(免疫印迹法)"",""定制式固定义齿"",""手臂式电子血压计"",""金属烤瓷固定修复体"",""验光镜片"",""定制式活动义齿"",""听力检查仪(商品名：耳蜗精灵)"",""体温计(医用)"",""支原体鉴定、药敏检测试剂盒(微生物检验法)"",""胆碱酯酶测定试剂盒(基于DGKC法-LST型)"",""轻便产床"",""妇科检查床"",""医用超声耦合剂"",""总蛋白(TP)测定试剂盒(双缩脲法)"",""医用胶带(Medical""]"
"[""静脉输液固定护贴"",""医用输液贴"",""KD系列电动吸引器"",""射频热凝器"",""微波治疗机"",""妇科诊断治疗仪"",""乙型肝炎病毒YMDD基因突变检测试剂盒(PCR-反向点杂交法)"",""结核分枝杆菌效应T细胞检测试剂盒(酶联免疫斑点法)"",""一次性使用流量设定微调式输液器"",""拆线剪"",""总胆红素(TB)检测试剂盒(重氮法)"",""肌酐(Cr)检测试剂盒(苦味酸法)"",""乙型肝炎病毒表面抗原检测试剂(胶体金法)"",""梅毒螺旋体抗体(TP)检测试剂(胶体金法)"",""锁定接骨板系统""]"
"[""脊柱内固定系统"",""光面骨水泥柄"",""一次性使用多穿刺器式输液器"",""直接数字化摄影系统"",""一次性无菌留置引流导管"",""一次性使用血小板常温保存袋"",""医用多参数采集检测仪"",""中功率耳内式助听器"",""葡萄糖定量检测试剂盒(终点法)"",""退热贴"",""外固定支架成套器械"",""组合式外固定支架"",""乳酸脱氢酶测定试剂盒(连续监测法)"",""尿酸(UA)测定试剂盒"",""医用银质针""]"
"[""内镜器械"",""一次性使用冲洗吸引分流管"",""便携式四诊合参辅助诊疗仪"",""血细胞分析用稀释液"",""医用X射线胶片"",""电子血压计(智能臂式)"",""一次性使用氧气雾化器"",""胱抑素C测定试剂盒(胶乳增强免疫比浊法)"",""PLX8500CD系列数字化医用X射线摄影系统"",""TR7000系列妇科臭氧治疗仪"",""TR6000系列数码电子阴道镜"",""一次性使用切口保护套"",""无线视频麻醉喉镜系统"",""γ-谷氨酰基转移酶测定试剂盒(连续监测法)"",""综合检眼仪""]"
"[""高频移动式手术X射线机"",""一次性使用麻醉机和呼吸机用呼吸管路"",""ZJ-9000系列医用臭氧治疗仪"",""麻醉视频喉镜"",""生物刺激反馈仪"",""C-反应蛋白(CRP)定量测定试剂盒(乳胶增强免疫比浊法)"",""同型半胱氨酸(HCY)定量测定试剂盒(酶法)"",""胫骨髓内钉器械包"",""PFNA股骨近端髓内钉器械包"",""电动牵引床"",""DI系列全自动生化分析仪"",""医用阴道填塞"",""低速气马达牙科手机"",""低密度脂蛋白胆固醇试剂盒检测试剂盒(直接法)"",""白蛋白(ALB)检测试剂盒(溴甲酚绿法)""]"
"[""葡萄糖(GLU-HK)检测试剂盒(己糖激酶法)"",""丙氨酸氨基转移酶(ALT)测定试剂盒(紫外-乳酸脱氢酶法)"",""鲁淄食药监械(准)字"",""尿酸测定试剂盒(尿酸酶法)"",""颈肩腰腿痛贴"",""粪便样本稀释液"",""胰岛素样生长因子结合蛋白－1检测试剂盒(胶体金免疫层析法)"",""转铁蛋白检测试剂盒(胶体金免疫层析法)"",""口腔X射线数字化体层摄影设备"",""一次性使用血压传感器"",""直型金属接骨板"",""纤维胆道镜"",""数字化医用X射线影像装置"",""硅凝胶贴膜(商品名：疤痕贴)"",""数字化医用""]"
"[""氯化物(Cl)定量测定试剂盒(硫氰酸汞法)"",""斜视钩"",""睑板腺囊肿锐匙"",""泪道探针"",""血清游离甲状腺素(FT4)检测试剂盒(时间分辨免疫荧光法)"",""血清游离三碘甲状腺原氨酸(FT3)检测试剂盒(时间分辨免疫荧光法)"",""血清总甲状腺素(TT4)检测试剂盒(时间分辨免疫荧光法)"",""外固定支架安装成套器械包"",""风疹病毒IgM抗体检测试剂盒(酶联免疫法)"",""人狂犬病病毒IgG抗体定量测定试剂盒(酶联免疫法)"",""B型流感病毒IgM抗体检测试剂盒(酶联免疫法)"",""埃可病毒IgM抗体检测试剂盒(酶联免疫法)"",""人类免疫缺陷病毒(HIV)抗原及抗体联合检测试剂盒(化学发光法)"",""SARS冠状病毒IgM抗体检测试剂盒(酶联免疫法)"",""聚乙烯醇颗粒栓塞剂(商品名：普维阿)""]"
"[""不锈钢射线防护门"",""纱布绷带"",""切刀"",""医用胶带"",""手部外科器械包"",""低速离心机"",""冷敷袋"",""听力检查仪(商品名：耳蜗精灵)"",""旋转阳极X射线管组件"",""电子体温计"",""单道心电图机"",""PAX-DS-Ⅱ电动手术台"",""手术无影灯"",""一次性使用特种微创圆型吻合器"",""胱氨酸蛋白酶抑制剂检测试剂盒(免疫比浊法)""]"
"[""淀粉酶检测试剂盒(EPS-G7法)"",""G91系列电针仪"",""全数字彩色超声诊断系统"",""软性亲水接触镜"",""SKY200型高频医用诊断X射线摄影机"",""上肢骨折安装器械包"",""肌钙蛋白Ⅰ检测试剂盒(胶乳增强免疫比浊法)"",""α1-微球蛋白检测试剂盒(胶乳增强免疫比浊法)"",""无影手术灯"",""一次性使用鼻氧管"",""游离脂肪酸检测试剂盒(酶法)"",""简易呼吸器"",""二氧化碳激光治疗机"",""输卵管提取板"",""双翼阴道扩张器""]"
"[""双通道注射泵"",""显微镊"",""腔镜直线型切割吻合器及钉匣"",""吸药器"",""医用诊断X射线机"",""脑脊液/尿总蛋白测定试剂盒(邻苯三酚红比色法)"",""降钙素原定量检测试剂盒(免疫层析法)"",""生长刺激表达蛋白2量检测试剂盒(免疫层析法)"",""单侧多功能外固定器"",""电子血压计"",""PLX160B型数字化医用X射线摄影系统"",""Mokosensor-C100型半自动生化分析仪"",""KP2018系列高频数字化X射线机"",""一次性使用输氧面罩"",""总胆固醇检测试剂盒(终点法)""]"
"[""持骨钳"",""血球仪用稀释液(商品名：MC-DILUENT)"",""全数字彩色超声诊断系统"",""一次性使用无菌硅胶导尿管"",""医学影像图文分析系统"",""超声专用阴道扩张器"",""巴氏染色试剂盒"",""医用外科纱布敷料"",""同型半胱氨酸检测试剂盒(酶法)"",""一次性使用医用体外引流瓶"",""丙型肝炎病毒抗体检测试剂(胶体金法)"",""乙型肝炎病毒表面抗原检测试剂盒(化学发光法)"",""双极射频消融电极(针)"",""高频移动式C形臂X射线机"",""视黄醇结合蛋白(RBP)测定试剂盒(免疫透射比浊法)""]"
"[""α1-"",""一次性使用鼻氧管"",""定制式固定义齿"",""胱抑素C检测试剂盒(胶体金法)"",""骨科敷料"",""天冬氨酸氨基转移酶AST(速率法)试剂盒(双)"",""糖化血红蛋白测定试剂盒(酶法)"",""心型脂肪酸结合蛋白(H-FABP)定量测定试剂盒(荧光素增强免疫化学发光法)"",""输液监护仪"",""负压吸引用收集装置"",""诊查床"",""斜视器"",""中心吸引器"",""一次性使用内窥镜手术冲吸导管"",""医用脱脂棉纱布叠片""]"
"[""活动义齿"",""脉动真空蒸汽灭菌器"",""尿微量白蛋白(MALB)定量检测试剂盒(荧光免疫层析法)"",""生物安全柜"",""脊柱后路钉棒系统(商品名：COX)"",""髓内钉(带锁、自锁)"",""医用X射线诊断装置"",""头灯"",""β2-微球蛋白检测试剂盒(乳胶增强免疫比浊法)"",""软性亲水接触镜"",""BEION"",""同型半胱氨酸检测试剂盒(循环酶法)"",""穴位贴"",""手动轮椅车"",""一次性使用口腔器械盒""]"
"[""酒精棉片"",""持针钳"",""金属重建接骨板安装器械包"",""碘伏棉片"",""碘伏海绵棒"",""一次性使用集尿袋"",""下肢锁定板专用器械"",""外固定支架-Ⅸ型专用工具包"",""血糖质控液"",""多层牵开架"",""根管充填器"",""轮转式切片机"",""人乳头瘤病毒(6/11型)核酸检测试剂盒(荧光PCR法)"",""医用X射线胶片观察灯"",""平型病床""]"
"[""高分子夹板"",""医用弹力套"",""医用X射线胶片冲洗套液"",""五官检查器"",""导尿管"",""髋关节假体（商品名：多孔层人工髋关节）"",""脊柱内固定器-钉板系统"",""电子输注泵"",""剔挖器"",""言语功能检测处理系统"",""中性粒细胞明胶酶相关脂质运载蛋白检测试剂盒（胶乳增强免疫比浊法）"",""中性粒细胞明胶酶相关脂质运载蛋白检测试剂盒(干式免疫荧光定量法)"",""定制式固定义齿"",""耳背式助听器"",""一次性使用肠内营养输注器(重力式)""]"
"[""一次性使用腔内连续缝合器"",""无纺纸医用胶带(商品名称：康瑞普)"",""HB-5D血液分析仪用溶血剂II"",""腹部牵开器"",""SYX8白内障手术器械包"",""钻头"",""肌酸激酶同工酶检测试剂盒(抗体免疫抑制法)"",""全数字超声诊断仪"",""无创颅内压监测仪"",""一次性双管式聚氯乙烯(PVC)鼻吸氧管"",""愈康宁芯片"",""定制式固定义齿"",""多功能冲洗器"",""一次性使用导引导丝"",""一次性采血包""]"
"[""载脂蛋白B检测试剂盒(免疫透射比浊法)"",""纤维支气管镜"",""一次性口罩"",""紫外线光疗仪"",""医用棉片"",""临床化学复合质控品水平2"",""医用X射线摄影系统"",""胆碱酯酶(CHE)试剂盒(丁酰硫代胆碱/铁氰化钾法)"",""血清脂蛋白(a)检测试剂盒(免疫透射比浊法)"",""加压弹力绷带"",""洗肾用血液回路导管"",""定制式固定义齿"",""气动腰部牵引固定带"",""集成式医疗器械清洗系统"",""托槽""]"
"[""肌酸激酶(CK)定量测定试剂盒(酶学速率法)"",""α-淀粉酶(α-AMY)定量测定试剂盒(氯化硝基苯-α-半乳麦芽糖苷法)"",""XD-9000系列红外乳腺诊断仪"",""定制式固定义齿"",""上肢接骨板配套器械工具包"",""脑钠肽(BNP)定量检测试剂盒(循环增强荧光免疫法)"",""乙型肝炎病毒表面抗体测定试剂盒(化学发光法)"",""免疫球蛋白IgE测定试剂盒(胶乳免疫比浊法)"",""耳背式助听器"",""数字化X射线摄影系统"",""电动轮椅车"",""微波治疗机"",""甲胎蛋白(AFP)测定试剂盒(磁微粒化学发光免疫分析法)"",""金属骨针"",""多道心电图机""]"
"[""显微眼后用器"",""鼻中隔骨剪"",""小梁切开器"",""移动式整体反射手术无影灯"",""旋转阳极X射线管"",""髋动力带锁钢板器械箱"",""一次性使用简易吸痰包"",""US系列尿液分析仪"",""心肌肌钙蛋白Ⅰ(cTnⅠ)定量检测试剂盒(时间分辨荧光免疫层析法)"",""一次性使用清创缝合包"",""一次性使用妇科刮板"",""医用纱布叠片"",""彩色多普勒超声诊断仪"",""HD-DKZ系列医用多功能电钻、锯"",""单侧外固定器安装器械包""]"
"[""医用输液贴"",""超声洁牙机工作尖"",""超声生物显微镜"",""同型半胱氨酸测定试剂盒(循环酶速率法)"",""载脂蛋白B测定试剂盒(免疫透射比浊法)"",""MB-3100型系列血气分析仪随机试剂盒"",""BEION"",""一次性血琼脂培养基"",""一次性使用可视喉镜(气管插管联合套件)"",""电子体温计"",""电子血压计"",""冷敷贴"",""髋臼锉"",""血细胞分析用溶血剂"",""Sono""]"
"[""鹅头钉接骨板专用手术器械包"",""电解质检测试剂盒(电极法)"",""糖类抗原15-3(CA15-3)检测试剂盒(增强化学发光免疫分析法)"",""Ⅰ型单纯疱疹病毒IgM抗体检测试剂盒(增强化学发光免疫分析法)"",""甲胎蛋白(AFP)检测试剂盒(增强化学发光免疫分析法)"",""Ⅱ型单纯疱疹病毒IgG抗体检测试剂盒(增强化学发光免疫分析法)"",""丙型肝炎病毒(HCV)抗体检测试剂盒(化学发光法)"",""乙型肝炎病毒核心抗体(抗-HBc)检测试剂盒(化学发光法)"",""单纯疱疹病毒I、II分型核酸测定试剂盒(荧光PCR法)"",""人流吸引管"",""齿科咬合纸"",""牙用凿"",""异物针"",""异物镊"",""固定镊""]"
